distributor,innovation,kanata,perry,richardson,tomax
TRADEMARKS PROMOTIONAL PRODUCTS,,,5722.0,,
TRANS GRAPHICS,0.0,,,,
TRANS TEXAS MULTIGRAPHX,0.0,,,,
TREEHOUSE EMBROIDERY,,,,0.0,
TREND BRAND SOLUTIONS,0.0,,,1297.35,
TREND PROMOTIONAL MARKETING CO,,,,,1935.25
TREND PROMOTIONAL MARKETING CORP,,,3997.0,,
TRENDY EXPRESSIONS,51.0,,,,
TRIAD COMPANY,0.0,,,,
TROPHY AND PLAQUE PLUS,0.0,,,,
TS&H SHIRT COMPANY INC,0.0,,,,
TUCKER LITHOGRAPHIC COMPANY IN,1693.0,,,,
TUMBLEWEED EMBROIDERY & MONOGR,,,,2461.07,
TWIN EAGLE PROMOTIONS,0.0,,,,
TX,1045599.0,,,,
TYLER DISTRIBUTORS,0.0,,,2943.83,
TYPE ON THINGS II,0.0,,,,
The Donna Bender Company (P),,374.4,,,
Trademarks Promotional Products (P),,5445.2,,,
Trend Brand Solutions,,1353.17,,,
U DAWG GRAPHICS,516.0,,,4250.92,
UB MARKETING INC,,,46.0,,
"UB MARKETING, INC.",0.0,,,,
"UNIFIED RESOURCES, INC.",360.0,,,,
UNIFORM TRENDS LLC,0.0,,,,
"UNIFORMS ELITE, INC",0.0,,,,
UNIPRO BUSINESS RESOURCES,95.0,,,,
UNIQ GRAFIX,454.0,,,,
UNIQUE PRINTING & SPECIALTIES,0.0,,,,
"UNIQUE SPIRIT COMPANY, LLC",784.0,,,,
UNIQUELY YOURS,0.0,,,,
UNIQUEXTRAS,0.0,,,,
UNIVERSITY OF NORTH TEXAS,9154.0,,,,
UNIVERSITY PRINTING SERVICES,0.0,,,,
"URBAN CIRCLE, LLC",0.0,,,,
URMARKETEAM EVOLUTION MARKETIN,420.0,,,,
USC PROMOS,0.0,,,,
USSERY PRINTING,0.0,,,,
UT PRINT,0.0,,,,
UTOPIA BUSINESS PRODUCTS,621.0,,,,
UVS ENTERPRISES LLC,819.0,,,,
VALLEY VIEW PRODUCTIONS,0.0,,,,
VANDERSLICE PROMOTIONS,948.0,,,,
"VECO PRINTING, INC.",0.0,,,,
VENUE PROMOTIONS,0.0,,,,
VERBA HEALTHCARE PROMOTIONS,0.0,,,,
VERNER ADVERTISING,0.0,,,,
VERSA PRINTING INC,0.0,,,,
VERSATEQ LLC,,,,0.0,
VESTIGE INTERNATIONAL,1457.0,,,,
VGVISUALS,811.0,,,,
VIANCO CNTERPRISES,,,,,0.0
VIANCO ENTERPRISES,,,52.0,,
VIATECH PUBLISHING SOLUTIONS,14004.0,,,,
VICKI DAVIS PROMOTIONS,219.0,,,,
VICTORY DESIGNS,0.0,,,,
VICTORY MARKETING SOLUTIONS,183.0,,,,
VICTORY PROMOTIONAL PRODUCTS,,,,80.4,
VIELMA ASSOCIATEPRINT IT ON IT,0.0,,,,
VISIBLEDIALOGUE,0.0,,,,
VISION II LLC,414.0,,,,
VISUAL EXCELLENCE,181.0,,,,
VISUAL IMPACT SPECIALTIES,,,,4748.78,
VISUAL MARKETING,3542.0,,,,
VISUAL PROMOTIONS,,,,10333.33,
VIVID IMPRESSIONS,0.0,,,,
Vernon Sales,,2255.0,,,
W PROMOTIONS,,,,888.41,
"W. M. MARTIN ADVERTISING, INC.",779.0,,,,
W.D. WEBB PRINTING SERVICES,0.0,,,,
WALK THE WALK PROMOTIONS,175.0,,,,
WALKER ADVERTISING INC,,,8641.0,,
"WALKER ADVERTISING, INC",,,,,1404.9
"WALKER ADVERTISING, INC.",4626.0,,,,
WALKER COMPANIES,743.0,,,,
WALTER ALLAN STUDIO,807.0,,,,
WARDELL ENTERPRISES,,,,,195.8
"WARDELL ENTERPRISES, INC.",287.0,,,,
WATERMARK GRAPHICS INC,,,6623.0,7281.45,
"WATERMARK GRAPHICS, INC",1535.0,,,,
"WATERMARK GRAPHICS, INC.",,,,,0.0
WATERMARK GRAPHICS-DO NOT USE,824.0,,,,
WATSONRISE MARKETING SERVICES INC,,,0.0,,
WAVEON FLAGS AND BANNERS,0.0,,,,
WAYNE ENTERPRISES,,,,6808.08,9119.0
WAYNE ENTERPRISES INC,,,11150.0,,
WAYNE ENTERPRISES INC.,5184.0,,,,
WE'VE GOTCHA COVERED,473.0,,,,
WEBB MASON INC,,,322.0,,
WENTA LLC,,,0.0,,
WESTERN ASSOCIATES INC,,,0.0,,
WESTERN FORMS INC,,,0.0,,
"WESTERN FORMS, INC",0.0,,,,
WHATEVER! CUSTOM PROMO PRNTG,0.0,,,,
WHATEVER! PROMO AGENCY,,,524.0,,
WHITESTONE PRINTING,814.0,,,,
WHOLESALE CAPS ETC,,,,5154.44,
WHOLESALE CAPS ETC.,195.0,,,,
WHOLESALE SERVICES,,,0.0,,
WHOLESALE SERVOCES,0.0,,,,
"WILDE ADVERTISING, INC.",0.0,,,,
WILLIE GREEN ADV SPECIALITY,,,,2533.89,
WILLIE'S T'S & EMBROIDERY,500.0,,,,
WILLIES TS,,,,7355.15,
"WINGS SPORTSWEAR, INC.",3247.0,,,,
WINSTAR INTERNATIONAL,558.0,,,,
WINWIN LOGO PROMOTIONS,326.0,,,,
WITTENBURG PRINTING,0.0,,,,
WITTY IDEAS,429.0,,,,
WORKFLOWONE,,,,,29158.5
WORLDWIDE SPECIALTY ADV INC,,,631.0,,
"WORLDWIDE SPECIALTY ADV., INC.",0.0,,,,
WORLDWIDE SPECIALTY ADVERTISING INC,,,,17.96,
WORLDWIDE SUPPLY,1229.0,,142.0,,
"WORTHY PROMOTIONS, INC",0.0,,,,
"WOUNDED FROG, LTD",374.0,,,,
WOW THE CROWD PROMOTIONS,513.0,,,,
Watermark Graphics,,1033.5,,,
World Wide Supply,,1149.01,,,
XACT BUSINESS SOLUTIONS,0.0,,,17.18,
XACT XPRESSIONS INC,,,850.0,,
XACTXPRESSIONS,702.0,,,,
XICO PRODUCTIONS,400.0,,,,
XPERT MEDIA MANAGEMENT,271.0,,,,
XPRESS BUSINESS PRODUCTS,0.0,,,,
YESS CORP.COM,1059.0,,,,
YOU NAME IT SPECIALTIES,1214.0,,,8544.07,0.0
"YOUNG AND OLD PRODUCTIONS, LLC",0.0,,,,
"YOUNG CONCEPTS, LLC",0.0,,,,
YOUR IDEAS INC,0.0,,,,
YOUR NAME HERE ADVERTISING,471.0,,,,
YOUR PROMO SPOT,0.0,,,,
YPS GROUP,0.0,,,,
Z PROMOTIONAL INC.,0.0,,,,
ZAK PRODUCTS,4664.0,,,,
ZIMMERLY & CO INC,0.0,,3757.0,,2370.0
ZION PROMOTIONAL PRODUCTS,331.0,,,,
ZIP SUPPLY,169.0,,,,
ZOOBY PROMOTIONAL,421.0,,,,
